gvkey,iid,datadate,prccd,cshtrd
025434,01,2020-05-04,71.89,12878270.0
025434,01,2020-05-05,72.9,12950510.0
025434,01,2020-05-06,72.96,12669290.0
025434,01,2020-05-07,76.0,13351900.0
025434,01,2020-05-08,77.87,11908630.0
025434,01,2020-05-11,75.87,8994882.0
025434,01,2020-05-12,74.35,8499505.0
025434,01,2020-05-13,73.62,11520790.0
025434,01,2020-05-14,74.19,11918500.0
025434,01,2020-05-15,74.16,9486136.0
025434,01,2020-05-18,76.23,8902601.0
025434,01,2020-05-19,75.86,6474490.0
025434,01,2020-05-20,77.76,7785098.0
025434,01,2020-05-21,78.05,10305650.0
025434,01,2020-05-22,77.62,7649770.0
025434,01,2020-05-26,77.76,8414153.0
025434,01,2020-05-27,78.6,8087218.0
025434,01,2020-05-28,78.54,8322733.0
025434,01,2020-05-29,77.99,10035910.0
025434,01,2020-06-01,78.32,7920192.0
025434,01,2020-06-02,77.78,9511789.0
025434,01,2020-06-03,79.58,9951529.0
025434,01,2020-06-04,78.74,7662541.0
025434,01,2020-06-05,82.14,12023420.0
025434,01,2020-06-08,83.56,10217610.0
025434,01,2020-06-09,82.37,7996193.0
025434,01,2020-06-10,79.01,19631620.0
025434,01,2020-06-11,72.57,26380020.0
025434,01,2020-06-12,76.38,18517710.0
025434,01,2020-06-15,76.96,14640660.0
025434,01,2020-06-16,77.84,10873360.0
025434,01,2020-06-17,77.1,6902626.0
025434,01,2020-06-18,76.31,8482561.0
025434,01,2020-06-19,75.4,12469630.0
025434,01,2020-06-22,75.4,8230247.0
025434,01,2020-06-23,75.49,8067772.0
025434,01,2020-06-24,73.64,12287250.0
025434,01,2020-06-25,73.85,8622365.0
025434,01,2020-06-26,71.57,17489950.0
025434,01,2020-06-29,73.48,8622632.0
025434,01,2020-06-30,73.59,11322110.0
025434,01,2020-07-01,74.03,6735572.0
025434,01,2020-07-02,73.78,6539151.0
025434,01,2020-07-06,75.44,7223323.0
025434,01,2020-07-07,74.25,7509898.0
